Type,ai
Growth Regulator,6-BENZYLADENINE
Insecticide,AMITRAZ
Insecticide,AZINPHOS-METHYL
Growth Regulator,BACILLUS CEREUS
Herbicide,BENFLURALIN
Insecticide,BUPROFEZIN
Fungicide,BURKHOLDERIA CEPACIA
Insecticide,BURKHOLDERIA SPP
Insecticide,CHLORFENAPYR
Fungicide,CONIOTHYRIUM MINITANS
Fungicide,COPPER
Fungicide,COPPER OXYCHLORIDE S
Insecticide,CYANTRANILIPROLE
Growth Regulator,CYCLANILIDE
Growth Regulator,CYTOKININ
Herbicide,DCPA
Insecticide,DICOFOL
Herbicide,DIMETHIPIN
Growth Regulator,DIMETHIPIN
Insecticide,DINOTEFURAN
Herbicide,DIQUAT
Growth Regulator,DIQUAT
Herbicide,DSMA
Insecticide,EMAMECTIN
Insecticide,ENDOSULFAN
Herbicide,ENDOTHAL
Growth Regulator,ENDOTHAL
Herbicide,ETHAMETSULFURON
Growth Regulator,ETHEPHON
Fungicide,ETRIDIAZOLE
Insecticide,FENAMIPHOS
Nematicide,FENAMIPHOS
Insecticide,FENPROPATHRIN
Insecticide,FLONICAMID
Herbicide,FLORASULAM
Herbicide,FLUCARBAZONE
Fungicide,FLUDIOXONIL
Herbicide,FLUOMETURON
Herbicide,FLURIDONE
Insecticide,FORMETANATE
Growth Regulator,GIBBERELLIC ACID
Herbicide,HEXAZINONE
Fungicide,HYDROGEN PEROXIDE
Growth Regulator,IBA
Herbicide,IMAZAMETHABENZ
Herbicide,IMAZAPIC
Fungicide,IPRODIONE
Insecticide,KAOLIN CLAY
Herbicide,MCPB
Growth Regulator,MEPIQUAT
Herbicide,MESOSULFURON
Fungicide,METALAXYL
Nematicide,METAM
Nematicide,METAM POTASSIUM
Insecticide,METHAMIDOPHOS
Insecticide,METHIDATHION
Insecticide,NALED
Insecticide,NEEM OIL
Insecticide,OXAMYL
Nematicide,OXAMYL
Insecticide,OXYDEMETON-METHYL
Insecticide,PARATHION
Insecticide,PHOSMET
Herbicide,PICLORAM
Growth Regulator,PINOLENE
Insecticide,PIRIMICARB
Insecticide,PROFENOFOS
Herbicide,PROPYZAMIDE
Herbicide,PYRASULFOTOLE
Insecticide,PYRIFLUQUINAZON
Insecticide,PYRIPROXYFEN
Herbicide,PYRITHIOBAC-SODIUM
Fungicide,QUINTOZENE
Growth Regulator,SODIUM CHLORATE
Insecticide,STEINERNEMA CARPOCAP
Fungicide,STREPTOMYCES LYDICUS
Growth Regulator,SULFCARBAMIDE
Insecticide,SULPROFOS
Insecticide,TEBUFENOZIDE
Herbicide,TERBACIL
Fungicide,TETRABOROHYDRATE
Growth Regulator,THIDIAZURON
Growth Regulator,TRIBUFOS
Herbicide,TRIFLOXYSULFURON
