ai,ecotox.ineq,ecotox.LD50,farruggia.ineq,farruggia.LD50,same.LD50,lower.LD50
MCPA,>,24.17,>,194,FALSE,Ecotox
GLYPHOSATE,>,100,>,103,FALSE,Ecotox
FLUFENACET,>,25,>,193.8,FALSE,Ecotox
BICYCLOPYRONE,>,197,>,200,FALSE,Ecotox
CARBARYL,NA,1.02,NA,1.336,FALSE,Ecotox
MALATHION,NA,0.156,NA,0.709,FALSE,Ecotox
THIAMETHOXAM,NA,0.0198,NA,0.024,FALSE,Ecotox
CLOTHIANIDIN,NA,0.0275,NA,0.0439,FALSE,Ecotox
AFIDOPYROPEN,NA,20.3,>,200,FALSE,Ecotox
FLUPYRADIFURONE,NA,11.5,>,100,FALSE,Ecotox
MEFENTRIFLUCONAZOLE,NA,30,>,100,FALSE,Ecotox
CAPTAN,>,215,>,10,FALSE,Farruggia
DICAMBA,>,90.65,NA,2.58,FALSE,Farruggia
CYPERMETHRIN,NA,0.13,NA,0.023,FALSE,Farruggia
FLUTRIAFOL,NA,198,>,50,FALSE,Farruggia
FIPRONIL,NA,0.006,NA,0.00277,FALSE,Farruggia
ACETAMIPRID,NA,10.53,NA,8.1,FALSE,Farruggia
"2,4-D",>,18.13,>,18.13,TRUE,Same
ACETOCHLOR,>,200,>,200,TRUE,Same
ACETOCHLOR,>,200,>,200,TRUE,Same
DIFLUBENZURON,>,74.2,>,74.2,TRUE,Same
METALDEHYDE,>,113,>,113,TRUE,Same
PENDIMETHALIN,>,100,>,100,TRUE,Same
OXYFLUORFEN,>,100,>,100,TRUE,Same
OXYFLUORFEN,>,100,>,100,TRUE,Same
METOLACHLOR,>,110,>,110,TRUE,Same
TRICLOPYR,>,100,>,100,TRUE,Same
PROPICONAZOLE,>,25,>,25,TRUE,Same
SETHOXYDIM,>,10,>,10,TRUE,Same
HEXYTHIAZOX,>,200,>,200,TRUE,Same
IMAZETHAPYR,>,98,>,98,TRUE,Same
CLOMAZONE,>,100,>,100,TRUE,Same
MYCLOBUTANIL,>,500,>,500,TRUE,Same
PROSULFURON,>,100,>,100,TRUE,Same
MESOTRIONE,>,100,>,100,TRUE,Same
IMAZAMOX,>,58,>,58,TRUE,Same
NOVALURON,>,100,>,100,TRUE,Same
DIFENOCONAZOLE,>,100,>,100,TRUE,Same
TRIFLOXYSTROBIN,>,200,>,200,TRUE,Same
ETOXAZOLE,>,200,>,200,TRUE,Same
METHOXYFENOZIDE,>,100,>,100,TRUE,Same
PYRACLOSTROBIN,>,100,>,100,TRUE,Same
PYRACLOSTROBIN,>,100,>,100,TRUE,Same
PROTHIOCONAZOLE,>,200,>,200,TRUE,Same
PROTHIOCONAZOLE,>,200,>,200,TRUE,Same
BOSCALID,>,200,>,200,TRUE,Same
TOPRAMEZONE,>,100,>,100,TRUE,Same
TOPRAMEZONE,>,100,>,100,TRUE,Same
FLUBENDIAMIDE,>,200,>,200,TRUE,Same
FLUBENDIAMIDE,>,200,>,200,TRUE,Same
SPIROMESIFEN,>,200,>,200,TRUE,Same
SPIROMESIFEN,>,200,>,200,TRUE,Same
FLUOXASTROBIN,>,200,>,200,TRUE,Same
BIXAFEN,>,100,>,100,TRUE,Same
BENZOVINDIFLUPYR,>,100,>,100,TRUE,Same
PYDIFLUMETOFEN,>,100,>,100,TRUE,Same
BROMOXYNIL,NA,159,NA,159,TRUE,Same
PROPACHLOR,NA,311,NA,311,TRUE,Same
PROPARGITE,NA,15,NA,15,TRUE,Same
METHOMYL,NA,1.29,NA,1.29,TRUE,Same
PERMETHRIN,NA,0.025,NA,0.025,TRUE,Same
DELTAMETHRIN,NA,0.0015,NA,0.0015,TRUE,Same
THIODICARB,NA,2.11,NA,2.11,TRUE,Same
ABAMECTIN,NA,0.0023,NA,0.0023,TRUE,Same
TEFLUTHRIN,NA,0.17,NA,0.17,TRUE,Same
DIMETHENAMID,NA,94,NA,94,TRUE,Same
FENHEXAMID,NA,0.215,NA,0.215,TRUE,Same
IMIDACLOPRID,NA,0.078,NA,0.078,TRUE,Same
INDOXACARB,NA,0.0682,NA,0.0682,TRUE,Same
PIPERONYL BUTOXIDE,>,11,NA,NA,NA,NA
DIMETHYLARSINIC ACID,>,157.12,NA,NA,NA,NA
CHLOROPICRIN,>,100,NA,NA,NA,NA
ROTENONE,>,2.42,NA,NA,NA,NA
PELARGONIC ACID,>,25,NA,NA,NA,NA
SIMAZINE,>,96.69,NA,NA,NA,NA
DIURON,>,145.03,NA,NA,NA,NA
DIURON,>,145.03,NA,NA,NA,NA
LINURON,>,120.86,NA,NA,NA,NA
AMETRYN,>,96.69,NA,NA,NA,NA
CALCIUM POLYSULFIDE,>,25,NA,NA,NA,NA
TRIFLURALIN,>,24.17,NA,NA,NA,NA
CHLOROTHALONIL,>,181.29,NA,NA,NA,NA
ATRAZINE,>,96.69,NA,NA,NA,NA
BUTYLATE,>,26.01,NA,NA,NA,NA
TRI-ALLATE,>,25,NA,NA,NA,NA
PARAQUAT,>,6.04,NA,NA,NA,NA
PROMETRYN,>,96.69,NA,NA,NA,NA
PYRETHRINS,>,0.63,NA,NA,NA,NA
AZADIRACHTIN,>,2.5,NA,NA,NA,NA
MANEB,>,12.09,NA,NA,NA,NA
ALACHLOR,>,36.26,NA,NA,NA,NA
BENOMYL,>,120.86,NA,NA,NA,NA
THIOPHANATE-METHYL,>,100,NA,NA,NA,NA
CHLORSULFURON,>,25,NA,NA,NA,NA
MEFENOXAM,>,25,NA,NA,NA,NA
QUIZALOFOP,>,50,NA,NA,NA,NA
LACTOFEN,>,124,NA,NA,NA,NA
QUINCLORAC,>,181.29,NA,NA,NA,NA
METOLACHLOR-S,>,200,NA,NA,NA,NA
TRALKOXYDIM,>,100,NA,NA,NA,NA
CYPROCONAZOLE,>,100,NA,NA,NA,NA
CYPROCONAZOLE,>,100,NA,NA,NA,NA
FLUMETSULAM,>,100,NA,NA,NA,NA
TRIBENURON METHYL,>,100,NA,NA,NA,NA
FLUMIOXAZIN,>,105,NA,NA,NA,NA
DIFLUFENZOPYR,>,25,NA,NA,NA,NA
NICOSULFURON,>,20,NA,NA,NA,NA
FLUTHIACET-METHYL,>,100,NA,NA,NA,NA
PICOXYSTROBIN,>,200,NA,NA,NA,NA
PICOXYSTROBIN,>,200,NA,NA,NA,NA
SULFENTRAZONE,>,25.1,NA,NA,NA,NA
METCONAZOLE,>,95.3,NA,NA,NA,NA
CARFENTRAZONE-ETHYL,>,27.9,NA,NA,NA,NA
PYRAFLUFEN ETHYL,>,100,NA,NA,NA,NA
AZOXYSTROBIN,>,200,NA,NA,NA,NA
FENPYROXIMATE,>,15.8,NA,NA,NA,NA
CLORANSULAM-METHYL,>,25,NA,NA,NA,NA
AMINOPYRALID,>,100,NA,NA,NA,NA
SAFLUFENACIL,>,100,NA,NA,NA,NA
SAFLUFENACIL,>,100,NA,NA,NA,NA
PYROXASULFONE,>,100,NA,NA,NA,NA
FLUOPYRAM,>,100,NA,NA,NA,NA
FLUOPYRAM,>,100,NA,NA,NA,NA
DIMETHOATE,NA,0.188,NA,NA,NA,NA
METHOXYCHLOR,NA,23.57,NA,NA,NA,NA
ALDICARB,NA,0.285,NA,NA,NA,NA
DICROTOPHOS,NA,0.3,NA,NA,NA,NA
METHYL PARATHION,NA,0.291,NA,NA,NA,NA
PHORATE,NA,10.07,NA,NA,NA,NA
DISULFOTON,NA,0.96,NA,NA,NA,NA
DIAZINON,NA,0.372,NA,NA,NA,NA
EPTC,NA,72.5,NA,NA,NA,NA
CARBOFURAN,NA,0.16,NA,NA,NA,NA
MSMA,NA,68,NA,NA,NA,NA
CHLORPYRIFOS,NA,0.114,NA,NA,NA,NA
SULFUR,NA,1051,NA,NA,NA,NA
SULFUR,NA,1051,NA,NA,NA,NA
TERBUFOS,NA,4.09,NA,NA,NA,NA
ETHOPROPHOS,NA,2.58,NA,NA,NA,NA
ETHOPROPHOS,NA,2.58,NA,NA,NA,NA
FENBUTATIN OXIDE,NA,3982,NA,NA,NA,NA
ACEPHATE,NA,1.2,NA,NA,NA,NA
CHLORETHOXYFOS,NA,0.09,NA,NA,NA,NA
ESFENVALERATE,NA,0.017,NA,NA,NA,NA
TRALOMETHRIN,NA,0.126,NA,NA,NA,NA
CYHALOTHRIN-GAMMA,NA,0.0061,NA,NA,NA,NA
CYHALOTHRIN-LAMBDA,NA,0.038,NA,NA,NA,NA
BIFENAZATE,NA,7.8,NA,NA,NA,NA
SPINOSYN,NA,0.0029,NA,NA,NA,NA
PENTHIOPYRAD,NA,23.49,NA,NA,NA,NA
SPINETORAM,NA,0.024,NA,NA,NA,NA
SULFOXAFLOR,NA,0.13,NA,NA,NA,NA
"2,4-DB",NA,NA,NA,NA,NA,NA
NAPTALAM,NA,NA,NA,NA,NA,NA
FENTIN,NA,NA,NA,NA,NA,NA
FONOFOS,NA,NA,NA,NA,NA,NA
VERNOLATE,NA,NA,NA,NA,NA,NA
PHOSPHORIC ACID,NA,NA,NA,NA,NA,NA
COPPER SULFATE,NA,NA,NA,NA,NA,NA
MANCOZEB,NA,NA,NA,NA,NA,NA
COPPER HYDROXIDE,NA,NA,NA,NA,NA,NA
METRIBUZIN,NA,NA,NA,NA,NA,NA
CYANAZINE,NA,NA,NA,NA,NA,NA
BENTAZONE,NA,NA,NA,NA,NA,NA
NORFLURAZON,NA,NA,NA,NA,NA,NA
ACIFLUORFEN,NA,NA,NA,NA,NA,NA
GLUFOSINATE,NA,NA,NA,NA,NA,NA
ALPHA-CYPERMETHRIN,NA,NA,NA,NA,NA,NA
BACILLUS SUBTILIS,NA,NA,NA,NA,NA,NA
BACILLUS THURINGIENSIS,NA,NA,NA,NA,NA,NA
CYFLUTHRIN,NA,NA,NA,NA,NA,NA
FLUAZIFOP,NA,NA,NA,NA,NA,NA
FLUROXYPYR,NA,NA,NA,NA,NA,NA
FOMESAFEN,NA,NA,NA,NA,NA,NA
THIFENSULFURON,NA,NA,NA,NA,NA,NA
METSULFURON,NA,NA,NA,NA,NA,NA
FLUAZINAM,NA,NA,NA,NA,NA,NA
IMAZAPYR,NA,NA,NA,NA,NA,NA
SULFOSATE,NA,NA,NA,NA,NA,NA
BIFENTHRIN,NA,NA,NA,NA,NA,NA
FLUSILAZOLE,NA,NA,NA,NA,NA,NA
FLUMICLORAC,NA,NA,NA,NA,NA,NA
FENOXAPROP,NA,NA,NA,NA,NA,NA
TEBUPIRIMPHOS,NA,NA,NA,NA,NA,NA
CLETHODIM,NA,NA,NA,NA,NA,NA
CHLORIMURON,NA,NA,NA,NA,NA,NA
PRIMISULFURON,NA,NA,NA,NA,NA,NA
HALOSULFURON,NA,NA,NA,NA,NA,NA
ISOXAFLUTOLE,NA,NA,NA,NA,NA,NA
DIMETHENAMID-P,NA,NA,NA,NA,NA,NA
IODOSULFURON,NA,NA,NA,NA,NA,NA
THIENCARBAZONE-METHYL,NA,NA,NA,NA,NA,NA
TEMBOTRIONE,NA,NA,NA,NA,NA,NA
CYFLUMETOFEN,NA,NA,NA,NA,NA,NA
FLUXAPYROXAD,NA,NA,NA,NA,NA,NA
HALAUXIFEN,NA,NA,NA,NA,NA,NA
ZETA-CYPERMETHRIN,NA,NA,NA,NA,NA,NA
TETRAOXOSULFATE,NA,NA,NA,NA,NA,NA
GARLIC JUICE,NA,NA,NA,NA,NA,NA
BACILLUS PUMILIS,NA,NA,NA,NA,NA,NA
ASPERGILLUS FLAVUS,NA,NA,NA,NA,NA,NA
REYNOUTRIA SACHALINENSIS,NA,NA,NA,NA,NA,NA
BACILLUS AMYLOLIQUEFACIEN,NA,NA,NA,NA,NA,NA
POLYHEDROSIS VIRUS,NA,NA,NA,NA,NA,NA
CLOPYRALID,NA,NA,NA,NA,NA,NA
ETHALFLURALIN,NA,NA,NA,51,NA,NA
PYRIDATE,NA,NA,NA,NA,NA,NA
IMAZAQUIN,NA,NA,NA,NA,NA,NA
TEBUCONAZOLE,NA,NA,NA,NA,NA,NA
TETRACONAZOLE,NA,NA,NA,NA,NA,NA
RIMSULFURON,NA,NA,NA,NA,NA,NA
FORAMSULFURON,NA,NA,NA,NA,NA,NA
CHLORANTRANILIPROLE,NA,NA,NA,NA,NA,NA
TOLPYRALATE,NA,NA,NA,NA,NA,NA
